school_visible_id,fellow_visible_id,group_name,session_number,session_date
ANS23_School_1,TFW23_S_001,2_S02,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_001,2_S02,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_005,2_S03,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_005,2_S03,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_005,2_S03,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_005,2_S03,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_005,2_S03,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_009,2_S04,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_009,2_S04,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_009,2_S04,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_009,2_S04,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_009,2_S04,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_003,2_S05,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_003,2_S05,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_003,2_S05,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_003,2_S05,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_003,2_S05,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_002,2_S06,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_002,2_S06,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_002,2_S06,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_002,2_S06,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_002,2_S06,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_010,2_S07,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_010,2_S07,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_010,2_S07,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_010,2_S07,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_010,2_S07,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_004,2_S08,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_004,2_S08,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_004,2_S08,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_004,2_S08,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_004,2_S08,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_006,2_S09,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_006,2_S09,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_006,2_S09,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_006,2_S09,3,2023-06-04 21:00:00
